#epoch loss_f loss_bc_u_top loss_bc_u_rest loss_bc_v u_avg u_std v_avg v_std
0 6.6336e+01 2.0026e+00 1.7637e-01 1.5919e-01 -3.9338e-01 1.3873e-01 4.2551e-01 9.6758e-02
1 6.2802e+00 1.9561e+00 1.3135e-01 2.4879e-01 -3.0738e-01 8.3269e-02 5.2546e-01 4.2817e-02
2 2.5624e+00 1.7120e+00 8.1790e-02 2.8775e-01 -2.8081e-01 5.6530e-02 5.3929e-01 2.0510e-02
3 1.2860e+00 1.6397e+00 5.5620e-02 2.9333e-01 -2.6317e-01 3.7759e-02 5.2959e-01 1.6619e-02
4 7.6324e-01 1.5931e+00 4.4711e-02 2.8350e-01 -2.4239e-01 2.3607e-02 5.1534e-01 1.6221e-02
5 4.8303e-01 1.5403e+00 3.7741e-02 2.6896e-01 -2.1695e-01 1.4437e-02 4.9990e-01 1.5637e-02
6 3.1460e-01 1.4776e+00 3.1368e-02 2.5309e-01 -1.8768e-01 1.1025e-02 4.8372e-01 1.4765e-02
7 2.1323e-01 1.4073e+00 2.4897e-02 2.3677e-01 -1.5563e-01 1.2112e-02 4.6688e-01 1.4062e-02
8 1.5249e-01 1.3323e+00 1.8494e-02 2.2039e-01 -1.2167e-01 1.4403e-02 4.4947e-01 1.3775e-02
9 1.1544e-01 1.2552e+00 1.2568e-02 2.0419e-01 -8.6523e-02 1.6345e-02 4.3161e-01 1.3850e-02
10 9.2215e-02 1.1779e+00 7.5453e-03 1.8835e-01 -5.0775e-02 1.7615e-02 4.1341e-01 1.4107e-02
11 7.7122e-02 1.1017e+00 3.7791e-03 1.7302e-01 -1.4893e-02 1.8244e-02 3.9498e-01 1.4375e-02
12 6.6810e-02 1.0278e+00 1.5266e-03 1.5829e-01 2.0768e-02 1.8345e-02 3.7637e-01 1.4545e-02
13 5.9341e-02 9.5684e-01 9.5254e-04 1.4421e-01 5.5938e-02 1.8043e-02 3.5767e-01 1.4560e-02
14 5.3610e-02 8.8937e-01 2.1437e-03 1.3080e-01 9.0417e-02 1.7452e-02 3.3893e-01 1.4409e-02
15 4.8987e-02 8.2560e-01 5.1235e-03 1.1810e-01 1.2405e-01 1.6664e-02 3.2022e-01 1.4102e-02
16 4.5104e-02 7.6568e-01 9.8635e-03 1.0611e-01 1.5673e-01 1.5756e-02 3.0161e-01 1.3664e-02
17 4.1737e-02 7.0963e-01 1.6293e-02 9.4863e-02 1.8836e-01 1.4783e-02 2.8320e-01 1.3127e-02
18 3.8747e-02 6.5742e-01 2.4303e-02 8.4360e-02 2.1887e-01 1.3788e-02 2.6505e-01 1.2522e-02
19 3.6045e-02 6.0896e-01 3.3759e-02 7.4615e-02 2.4817e-01 1.2804e-02 2.4726e-01 1.1879e-02
20 3.3574e-02 5.6415e-01 4.4496e-02 6.5633e-02 2.7623e-01 1.1854e-02 2.2990e-01 1.1225e-02
21 3.1295e-02 5.2287e-01 5.6333e-02 5.7410e-02 3.0299e-01 1.0956e-02 2.1306e-01 1.0581e-02
22 2.9187e-02 4.8496e-01 6.9074e-02 4.9936e-02 3.2842e-01 1.0121e-02 1.9678e-01 9.9672e-03
23 2.7232e-02 4.5026e-01 8.2512e-02 4.3189e-02 3.5249e-01 9.3570e-03 1.8113e-01 9.3968e-03
24 2.5422e-02 4.1862e-01 9.6441e-02 3.7141e-02 3.7518e-01 8.6697e-03 1.6615e-01 8.8808e-03
25 2.3749e-02 3.8986e-01 1.1065e-01 3.1756e-02 3.9648e-01 8.0604e-03 1.5185e-01 8.4261e-03
26 2.2208e-02 3.6379e-01 1.2496e-01 2.6994e-02 4.1640e-01 7.5290e-03 1.3826e-01 8.0364e-03
27 2.0793e-02 3.4023e-01 1.3916e-01 2.2809e-02 4.3495e-01 7.0731e-03 1.2539e-01 7.7121e-03
28 1.9498e-02 3.1900e-01 1.5310e-01 1.9155e-02 4.5216e-01 6.6890e-03 1.1322e-01 7.4510e-03
29 1.8320e-02 2.9993e-01 1.6662e-01 1.5984e-02 4.6806e-01 6.3721e-03 1.0175e-01 7.2487e-03
30 1.7251e-02 2.8284e-01 1.7959e-01 1.3249e-02 4.8267e-01 6.1169e-03 9.0955e-02 7.0994e-03
31 1.6285e-02 2.6757e-01 1.9190e-01 1.0903e-02 4.9605e-01 5.9179e-03 8.0819e-02 6.9962e-03
32 1.5415e-02 2.5397e-01 2.0346e-01 8.9048e-03 5.0824e-01 5.7693e-03 7.1315e-02 6.9322e-03
33 1.4636e-02 2.4190e-01 2.1420e-01 7.2128e-03 5.1927e-01 5.6658e-03 6.2418e-02 6.9006e-03
34 1.3940e-02 2.3122e-01 2.2406e-01 5.7901e-03 5.2921e-01 5.6026e-03 5.4100e-02 6.8949e-03
35 1.3321e-02 2.2181e-01 2.3300e-01 4.6026e-03 5.3811e-01 5.5751e-03 4.6335e-02 6.9097e-03
36 1.2774e-02 2.1356e-01 2.4101e-01 3.6197e-03 5.4600e-01 5.5797e-03 3.9095e-02 6.9400e-03
37 1.2292e-02 2.0637e-01 2.4807e-01 2.8137e-03 5.5295e-01 5.6129e-03 3.2355e-02 6.9818e-03
38 1.1871e-02 2.0014e-01 2.5419e-01 2.1600e-03 5.5901e-01 5.6721e-03 2.6090e-02 7.0319e-03
39 1.1506e-02 1.9479e-01 2.5938e-01 1.6366e-03 5.6423e-01 5.7547e-03 2.0276e-02 7.0874e-03
40 1.1192e-02 1.9024e-01 2.6367e-01 1.2240e-03 5.6865e-01 5.8588e-03 1.4893e-02 7.1462e-03
41 1.0926e-02 1.8643e-01 2.6707e-01 9.0505e-04 5.7233e-01 5.9826e-03 9.9190e-03 7.2067e-03
42 1.0704e-02 1.8329e-01 2.6964e-01 6.6458e-04 5.7531e-01 6.1247e-03 5.3352e-03 7.2675e-03
43 1.0522e-02 1.8077e-01 2.7141e-01 4.8932e-04 5.7765e-01 6.2838e-03 1.1235e-03 7.3276e-03
44 1.0378e-02 1.7880e-01 2.7243e-01 3.6762e-04 5.7939e-01 6.4586e-03 -2.7328e-03 7.3863e-03
45 1.0269e-02 1.7734e-01 2.7274e-01 2.8932e-04 5.8058e-01 6.6481e-03 -6.2498e-03 7.4431e-03
46 1.0191e-02 1.7636e-01 2.7241e-01 2.4561e-04 5.8125e-01 6.8514e-03 -9.4423e-03 7.4975e-03
47 1.0144e-02 1.7579e-01 2.7147e-01 2.2887e-04 5.8147e-01 7.0676e-03 -1.2325e-02 7.5495e-03
48 1.0124e-02 1.7562e-01 2.6999e-01 2.3255e-04 5.8127e-01 7.2959e-03 -1.4910e-02 7.5988e-03
